Angle,Length,Ht_E,UW_E,Ht_SS,Void Ratio,UW_SS,Lamda,Kappa,PR,FA,OCR,Permeability,After 1 year
2,10,6,18,3,1.76,15.7,0.21,0.02,0.3,5.5,1.2,8.823908741,75
2,10,6,18,3,1.53,16.2,0.15,0.02,0.3,7.5,1.3,9.22184875,109
2,10,6,18,3,2.3,14.8,0.57,0.06,0.15,5,1.8,8.219538667,131
2,10,6,18,3,2.7,14.3,0.76,0.08,0.15,6,2.1,8.444180317,134
2,10,6,18,3,2.9,14,0.87,0.09,0.15,4.5,1.7,8.935542011,110
2,10,6,18,3,2.8,14,0.76,0.076,0.15,4,1.6,9.236572006,49
2,10,6,18,3,1.81,15.7,0.18,0.02,0.3,3,1.3,8.251811973,84
3,10,4,19,8,1.8,15.2,0.178,0.025,0.36,9,1,9.301029996,144
3,10,4,19,8,1.9,15,0.217,0.026,0.32,7,1,9.22184875,92
3,10,4,19,8,1.78,16,0.33,0.066,0.3,7.5,1.9,9.455931956,132
3,10,4,19,8,1.78,16.5,0.38,0.076,0.3,6,1.5,9.759450752,135
3,10,4,19,8,1.78,16.2,0.38,0.076,0.3,9,1,9.759450752,163
3,10,4,19,8,1.78,15.8,0.33,0.066,0.3,6.5,1,9.759450752,130
3,10,4,19,8,3.3,16.5,0.52,0.052,0.3,4,1.2,9.698970004,70
3,10,4,19,8,3.3,16,0.65,0.065,0.3,10,1.5,9.698970004,105
3,10,4,19,8,3.1,16.5,0.65,0.065,0.3,7.2,1.6,9.853871964,84
3,10,4,19,8,2.6,17,0.52,0.052,0.3,6.5,1.4,10.15490196,70
1,6,5,19,6,0.788,18.58,0.0576,0.0106,0.36,5,3.5,9,60
1,6,5,19,6,0.589,18.38,0.0425,0.016,0.36,5,2.8,9,114
1,6,5,19,6,0.815,20,0.066,0.029,0.36,5,1,9,402
1,6,5,19,6,0.949,18.11,0.127,0.05,0.36,5,1.5,9,360
1,6,5,19,6,2,15,0.217,0.0276,0.35,5,7.5,8.958607315,95
1,6,5,19,6,2,15,0.217,0.027,0.34,6,5.5,8.823908741,92
1,6,5,19,6,2,14.8,0.261,0.035,0.36,7,3.5,8.22184875,146
1,6,5,19,6,2.2,14.5,0.304,0.06,0.37,8,1.8,8.013228266,470
1,6,5,19,6,2.1,14.5,0.304,0.06,0.37,4,1,8.698970004,620
2,8,6,19,5,0.788,18.58,0.0576,0.0106,0.36,5,3.5,9,52
2,8,6,19,5,0.589,18.38,0.0425,0.016,0.36,5,2.8,9,88
2,8,6,19,5,0.815,20,0.066,0.029,0.36,5,1,9,205
2,8,6,19,5,0.949,18.11,0.127,0.05,0.36,5,1.5,9,222
2,8,6,19,5,2,15,0.217,0.0276,0.35,5,7.5,8.958607315,86
2,8,6,19,5,2,15,0.217,0.027,0.34,6,5.5,8.823908741,85
2,8,6,19,5,2,14.8,0.261,0.035,0.36,7,3.5,8.22184875,125
2,8,6,19,5,2.2,14.5,0.304,0.06,0.37,8,1.8,8.013228266,337
2,8,6,19,5,2.1,14.5,0.304,0.06,0.37,4,1,8.698970004,422
3,10,6,20,7,0.788,18.58,0.0576,0.0106,0.36,5,3.5,9,56
3,10,6,20,7,0.589,18.38,0.0425,0.016,0.36,5,2.8,9,93
3,10,6,20,7,0.815,20,0.066,0.029,0.36,5,1,9,162
3,10,6,20,7,0.949,18.11,0.127,0.05,0.36,5,1.5,9,221
3,10,6,20,7,2,15,0.217,0.0276,0.35,5,7.5,8.958607315,93
3,10,6,20,7,2,15,0.217,0.027,0.34,6,5.5,8.823908741,92
3,10,6,20,7,2,14.8,0.261,0.035,0.36,7,3.5,8.22184875,138
3,10,6,20,7,2.2,14.5,0.304,0.06,0.37,8,1.8,8.013228266,329
3,10,6,20,7,2.1,14.5,0.304,0.06,0.37,4,1,8.698970004,282
3,8,4,20,7,1.8,15.2,0.178,0.025,0.36,9,1,9.301029996,157
3,8,4,20,7,1.9,15,0.217,0.026,0.32,7,1,9.22184875,100
3,8,4,20,7,1.78,16,0.33,0.066,0.3,7.5,1.9,9.455931956,137
3,8,4,20,7,1.78,16.5,0.38,0.076,0.3,6,1.5,9.759450752,139
3,8,4,20,7,1.78,16.2,0.38,0.076,0.3,9,1,9.759450752,170
3,8,4,20,7,1.78,15.8,0.33,0.066,0.3,6.5,1,9.759450752,134
3,8,4,20,7,3.3,16.5,0.52,0.052,0.3,4,1.2,9.698970004,73
3,8,4,20,7,3.3,16,0.65,0.065,0.3,10,1.5,9.698970004,113
3,8,4,20,7,3.1,16.5,0.65,0.065,0.3,7.2,1.6,9.853871964,87
3,8,4,20,7,2.6,17,0.52,0.052,0.3,6.5,1.4,10.15490196,72
2,8,5,18,5,1.8,15.2,0.178,0.025,0.36,9,1,9.301029996,294
2,8,5,18,5,1.9,15,0.217,0.026,0.32,7,1,9.22184875,115
2,8,5,18,5,1.78,16,0.33,0.066,0.3,7.5,1.9,9.455931956,131
2,8,5,18,5,1.78,16.5,0.38,0.076,0.3,6,1.5,9.759450752,128
2,8,5,18,5,1.78,16.2,0.38,0.076,0.3,9,1,9.759450752,173
2,8,5,18,5,1.78,15.8,0.33,0.066,0.3,6.5,1,9.759450752,130
2,8,5,18,5,3.3,16.5,0.52,0.052,0.3,4,1.2,9.698970004,71
2,8,5,18,5,3.3,16,0.65,0.065,0.3,10,1.5,9.698970004,118
2,8,5,18,5,3.1,16.5,0.65,0.065,0.3,7.2,1.6,9.853871964,82
2,8,5,18,5,2.6,17,0.52,0.052,0.3,6.5,1.4,10.15490196,67
1,6,5,20,4,1.8,15.2,0.178,0.025,0.36,9,1,9.301029996,696
1,6,5,20,4,1.9,15,0.217,0.026,0.32,7,1,9.22184875,245
1,6,5,20,4,1.78,16,0.33,0.066,0.3,7.5,1.9,9.455931956,179
1,6,5,20,4,1.78,16.5,0.38,0.076,0.3,6,1.5,9.759450752,192
1,6,5,20,4,1.78,16.2,0.38,0.076,0.3,9,1,9.759450752,393
1,6,5,20,4,1.78,15.8,0.33,0.066,0.3,6.5,1,9.759450752,269
1,6,5,20,4,3.3,16.5,0.52,0.052,0.3,4,1.2,9.698970004,109
1,6,5,20,4,3.3,16,0.65,0.065,0.3,10,1.5,9.698970004,188
1,6,5,20,4,3.1,16.5,0.65,0.065,0.3,7.2,1.6,9.853871964,121
1,6,5,20,4,2.6,17,0.52,0.052,0.3,6.5,1.4,10.15490196,108
1,8,6,18,5,1.8,15.2,0.178,0.025,0.36,9,1,9.301029996,814
