Angle,Length,Ht_E,UW_E,Ht_SS,Void Ratio,UW_SS,Lamda,Kappa,PR,FA,OCR,Permeability,After 30d
2,8,6,19,5,0.788,18.58,0.0576,0.0106,0.36,5,3.5,9,34
2,8,6,19,5,0.589,18.38,0.0425,0.016,0.36,5,2.8,9,58
2,8,6,19,5,0.815,20,0.066,0.029,0.36,5,1,9,148
2,8,6,19,5,0.949,18.11,0.127,0.05,0.36,5,1.5,9,136
2,8,6,19,5,2,15,0.217,0.0276,0.35,5,7.5,8.958607315,54
2,8,6,19,5,2,15,0.217,0.027,0.34,6,5.5,8.823908741,54
2,8,6,19,5,2,14.8,0.261,0.035,0.36,7,3.5,8.22184875,87
2,8,6,19,5,2.2,14.5,0.304,0.06,0.37,8,1.8,8.013228266,221
2,8,6,19,5,2.1,14.5,0.304,0.06,0.37,4,1,8.698970004,283
3,10,6,20,7,0.788,18.58,0.0576,0.0106,0.36,5,3.5,9,35
3,10,6,20,7,0.589,18.38,0.0425,0.016,0.36,5,2.8,9,56
3,10,6,20,7,0.815,20,0.066,0.029,0.36,5,1,9,102
3,10,6,20,7,0.949,18.11,0.127,0.05,0.36,5,1.5,9,126
3,10,6,20,7,2,15,0.217,0.0276,0.35,5,7.5,8.958607315,57
3,10,6,20,7,2,15,0.217,0.027,0.34,6,5.5,8.823908741,56
3,10,6,20,7,2,14.8,0.261,0.035,0.36,7,3.5,8.22184875,87
3,10,6,20,7,2.2,14.5,0.304,0.06,0.37,8,1.8,8.013228266,180
3,10,6,20,7,2.1,14.5,0.304,0.06,0.37,4,1,8.698970004,188
3,8,4,20,7,1.8,15.2,0.178,0.025,0.36,9,1,9.301029996,87
3,8,4,20,7,1.9,15,0.217,0.026,0.32,7,1,9.22184875,56
3,8,4,20,7,1.78,16,0.33,0.066,0.3,7.5,1.9,9.455931956,92
3,8,4,20,7,1.78,16.5,0.38,0.076,0.3,6,1.5,9.759450752,97
3,8,4,20,7,1.78,16.2,0.38,0.076,0.3,9,1,9.759450752,101
3,8,4,20,7,1.78,15.8,0.33,0.066,0.3,6.5,1,9.759450752,91
3,8,4,20,7,3.3,16.5,0.52,0.052,0.3,4,1.2,9.698970004,50
3,8,4,20,7,3.3,16,0.65,0.065,0.3,10,1.5,9.698970004,62
3,8,4,20,7,3.1,16.5,0.65,0.065,0.3,7.2,1.6,9.853871964,60
3,8,4,20,7,2.6,17,0.52,0.052,0.3,6.5,1.4,10.15490196,52
2,8,5,18,5,1.8,15.2,0.178,0.025,0.36,9,1,9.301029996,181
2,8,5,18,5,1.9,15,0.217,0.026,0.32,7,1,9.22184875,68
2,8,5,18,5,1.78,16,0.33,0.066,0.3,7.5,1.9,9.455931956,80
2,8,5,18,5,1.78,16.5,0.38,0.076,0.3,6,1.5,9.759450752,83
2,8,5,18,5,1.78,16.2,0.38,0.076,0.3,9,1,9.759450752,95
2,8,5,18,5,1.78,15.8,0.33,0.066,0.3,6.5,1,9.759450752,87
2,8,5,18,5,3.3,16.5,0.52,0.052,0.3,4,1.2,9.698970004,48
2,8,5,18,5,3.3,16,0.65,0.065,0.3,10,1.5,9.698970004,57
2,8,5,18,5,3.1,16.5,0.65,0.065,0.3,7.2,1.6,9.853871964,53
2,8,5,18,5,2.6,17,0.52,0.052,0.3,6.5,1.4,10.15490196,47
1,6,5,20,4,1.8,15.2,0.178,0.025,0.36,9,1,9.301029996,585
1,6,5,20,4,1.9,15,0.217,0.026,0.32,7,1,9.22184875,186
1,6,5,20,4,1.78,16,0.33,0.066,0.3,7.5,1.9,9.455931956,134
1,6,5,20,4,1.78,16.5,0.38,0.076,0.3,6,1.5,9.759450752,150
1,6,5,20,4,1.78,16.2,0.38,0.076,0.3,9,1,9.759450752,282
1,6,5,20,4,1.78,15.8,0.33,0.066,0.3,6.5,1,9.759450752,210
1,6,5,20,4,3.3,16.5,0.52,0.052,0.3,4,1.2,9.698970004,90
1,6,5,20,4,3.3,16,0.65,0.065,0.3,10,1.5,9.698970004,114
1,6,5,20,4,3.1,16.5,0.65,0.065,0.3,7.2,1.6,9.853871964,95
1,6,5,20,4,2.6,17,0.52,0.052,0.3,6.5,1.4,10.15490196,88
1,8,6,18,5,1.8,15.2,0.178,0.025,0.36,9,1,9.301029996,682
1,8,6,18,5,1.9,15,0.217,0.026,0.32,7,1,9.22184875,184
1,8,6,18,5,1.78,16,0.33,0.066,0.3,7.5,1.9,9.455931956,139
